horizon,mse,rmse,mae,mape,mdape,smape,coverage
71 days,1393.3216945974355,37.32722457667373,35.41259463916701,1.2208361040737026,0.8196896409726171,0.7011336659390374,0.3333333333333333
72 days,1368.1347852709043,36.988306061117534,34.00093218002994,1.2042632122561021,0.8196896409726171,0.6822473417024975,0.3333333333333333
73 days,1275.945839287616,35.72038408650747,31.76352188483383,1.1284027088611097,0.7599072225506472,0.6339814745119389,0.4444444444444444
74 days,1011.8795132445729,31.810053650451028,26.467355582321108,0.8184227202077535,0.46685230106423453,0.5060942719490167,0.5555555555555556
75 days,713.6168023335566,26.713607063321806,20.855680069009523,0.7723206479065247,0.46685230106423453,0.44653401907518336,0.6666666666666666
76 days,502.09840201253724,22.407552343184143,16.667309701149055,0.5500818069905995,0.13694511041768623,0.34358549280406,0.7777777777777778
77 days,397.9299011845724,19.948180397835095,15.010094464774504,0.4336438212675354,0.13694511041768623,0.29441605497239476,0.8888888888888888
78 days,321.4203263918567,17.92819919545342,13.938237862624673,0.3299693070464753,0.13694511041768623,0.2556678898946487,0.8888888888888888
79 days,396.0117188686285,19.90004318760712,15.08324316973259,0.3919690707812118,0.13694511041768623,0.2827505664679315,0.7777777777777778
80 days,619.8381967600249,24.896549896723137,18.239067574078724,0.6417740508456952,0.13694511041768623,0.36865731723773004,0.6666666666666666
81 days,708.0260828103044,26.60875951280526,21.096938547363443,0.7192089863674302,0.5980368356655513,0.4240826618302156,0.6666666666666666
82 days,779.3404274527788,27.916669347412824,22.975104080836243,0.7861083922383637,0.7379835004020997,0.46770742236120605,0.6666666666666666
83 days,800.3071660805543,28.289700706804133,24.384368765738493,0.8135613786931593,0.7379835004020997,0.49173061590867967,0.6666666666666666
84 days,809.874830176167,28.45829984690173,25.278882991367972,0.829419866631755,0.7379835004020997,0.5061922186798453,0.6666666666666666
85 days,1303.231306761112,36.10029510628842,32.00541672902378,2.894971610657669,0.7390397632560872,0.6962737951909502,0.5555555555555556
86 days,1365.6746535203238,36.955035563781074,33.087904934552675,2.933796152766194,0.8380141752295359,0.7165540518130019,0.4444444444444444
87 days,1460.2120297928873,38.21272078500675,34.37701011777587,3.0062538451999363,0.9474577146422742,0.7458149667837968,0.4444444444444444
88 days,1304.7874604617507,36.12184187526642,30.733704532372055,2.86829435319703,0.7390397632560872,0.6657091858020965,0.5555555555555556
89 days,1331.0316432351376,36.4833063638034,30.99188402710026,2.938286364185959,0.7390397632560872,0.6768180091705935,0.5555555555555556
90 days,1253.3296506262366,35.402396114193124,28.965110070927405,2.875265349334592,0.7390397632560872,0.634405313989422,0.5555555555555556
