horizon,mse,rmse,mae,mape,mdape,smape,coverage
63 days,607.9129035776817,24.655889835446658,19.403448492906335,0.7396993664600705,0.3964634126721952,0.6508272839943964,0.7962962962962963
64 days,646.869414098475,25.43362762364966,20.047152687611327,0.7549154679374953,0.4283847528354288,0.6607573696402244,0.7777777777777778
65 days,773.5090491947233,27.812030655720257,22.131113350369933,0.8623830909891966,0.5455437055052245,0.7081059812519328,0.7222222222222222
66 days,825.6526434642561,28.734172051135495,23.406592053687174,0.8938540766924895,0.5666217222086367,0.7296065196928095,0.6666666666666666
67 days,852.4984093907163,29.19757540260349,23.831915194580493,0.8926206898576465,0.5666217222086367,0.7331608329716325,0.6296296296296297
68 days,834.5330171443339,28.888285119479384,23.30586017630785,0.7756727123585393,0.5869891785569998,0.7221642345617438,0.6111111111111112
69 days,752.6168703852686,27.4338635701439,22.45235779761881,0.7459131909064295,0.5860783558379097,0.7078251631370714,0.6111111111111112
70 days,715.0891388808092,26.741150664861248,21.627205784215214,0.72298536238955,0.5696021947597676,0.690401026021273,0.6481481481481481
71 days,638.7059408220916,25.272632249571704,20.540821933455298,0.6615007246598048,0.5388958287404134,0.6663802423738194,0.6666666666666666
72 days,642.8869907016747,25.35521624245541,20.548987078423647,0.6549267645421027,0.5388958287404134,0.6632843057845089,0.6666666666666666
73 days,646.4854635801698,25.42607841528398,20.381418596949374,0.6707346391999446,0.4892210577765571,0.6643341824622149,0.6851851851851852
74 days,598.0189757544008,24.454426506348515,19.863785608887362,0.6265191831785007,0.4900861343562052,0.6542742267158915,0.7037037037037037
75 days,580.3752889066533,24.09097940945227,18.899114235991647,0.6003707690067144,0.4860974323769891,0.6351858546887408,0.7407407407407407
76 days,580.7923265431607,24.099633327981582,18.66107220218369,0.5980410466370707,0.46334924899307783,0.6298710062263992,0.7592592592592593
77 days,576.9448161046424,24.019675603651322,18.45796823588945,0.5895259189252793,0.43126643148834004,0.6184077170698371,0.7592592592592593
78 days,539.8442476438677,23.234548578439558,17.686269252764177,0.5842596121961289,0.37311194409448833,0.6171336157206704,0.7777777777777778
79 days,536.1762691971204,23.15548032749743,17.491383138155165,0.5911625425908602,0.3755550250543478,0.6225354444937238,0.7592592592592593
80 days,511.6444837706818,22.619559760761963,16.929720192372468,0.5821030667244693,0.2701488035972529,0.6205751333833781,0.7962962962962963
81 days,530.8541718723535,23.04027282547569,16.977455727070808,0.652598054979729,0.2576669469127374,0.6273557476188958,0.7962962962962963
82 days,463.90220718523807,21.53838915019501,15.946418833808753,0.6369637237894209,0.2349751171899303,0.6193044758194519,0.8148148148148148
83 days,383.30191852457176,19.578097929180245,14.513181270797187,0.6467037956474824,0.21151543606067535,0.613598437762817,0.8518518518518519
84 days,343.2851758605658,18.527956602403997,13.983583683971128,0.7589765974104542,0.2244093712269189,0.6308287737052959,0.8703703703703703
85 days,356.9489505760916,18.89309266838258,14.347513406419285,0.914217022612484,0.30883013332936293,0.6704082802990248,0.8703703703703703
86 days,338.0268093282009,18.38550541399939,13.896432581667549,0.9171449939368491,0.30883013332936293,0.6696524382249012,0.8888888888888888
87 days,350.7822451034129,18.72918164532057,14.02203254559007,0.9503388000708749,0.30883013332936293,0.6688099984528577,0.8703703703703703
88 days,363.0904804856839,19.054933232254683,14.224781873690201,0.9536706348857754,0.3543947122441561,0.6718907573312158,0.8518518518518519
89 days,373.27196348863373,19.32024750070852,14.53161367639451,0.9650109318499824,0.45944826647079684,0.6875360464080088,0.8333333333333334
90 days,286.16780195861503,16.916494966706757,12.855706047465926,0.8658239606268539,0.40758993738418015,0.6610103084654726,0.8703703703703703
